"F_Id","F_ParentId","F_FullName","F_EnCode","F_SimpleSpelling","F_IsDefault","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_DictionaryTypeId"
"00027e3ecaf54f008a5d7e25c6d4f4c3","963255a34ea64a2584c5d1ba269c1fe6","保密","3","3",,,"0","1","15/8/2020 03:11:52","00ca450b-141b-45d2-b6cb-94d818165543","15/8/2020 03:17:02","00ca450b-141b-45d2-b6cb-94d818165543",,,,"963255a34ea64a2584c5d1ba269c1fe6"
"00C3CCB3-47E1-4FA3-8F8E-3AF6EA6D808A","d9b969ed-9122-4861-9035-c631acf99378","文艺演出","文艺演出","WYYC",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"01ba59c5d9a44d71ab0284cb48525813","0","达斡尔族","达斡尔族","DWEZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"029801dc74fd4fd1bc432ca9aba759dd","65e7917344fa460e8c487e45bbbab26f","费用相关","costRelated","FYXG",,,"0","1","21/9/2020 02:20:43","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"65e7917344fa460e8c487e45bbbab26f"
"02C0A09B-1FD7-4B1A-BCD1-9F368AEE9066","4d885793-2fbd-49ce-9b0e-aa709a71b2d0","景区/公园/游乐","景区/公园/游乐","JQGYYY,JQGYYL,JOGYYY,JOGYYL",,,"0","1","24/10/2017 16:00:36",,,,,,,"d59a3cf65f9847dbb08be449e3feae16"
"02c8e5984d484358beff9cdff599992b","1cff2b60fd7a4c9f82273163b956268c","人事管理","personnelManage","RSGL",,,"0","1","21/9/2020 02:00:38","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"1cff2b60fd7a4c9f82273163b956268c"
"03fdd2708ade428a97edb2b21e3c4458","4173579c31e74a2b8749e65a23e5c957","费用相关","costRelated","FYXG",,,"0","1","21/9/2020 01:58:56","00ca450b-141b-45d2-b6cb-94d818165543",,,,,,"4173579c31e74a2b8749e65a23e5c957"
"059275f8dc94475d82efd6780d2f67b6","0","锡伯族","锡伯族","XBZ",,,"0","1","24/10/2017 16:00:36",,,,,,,"b6cd65a763fa45eb9fe98e5057693e40"
"06cf989b086a432c9e507e88117e37f5","0","网银支付","Onlinepayment","WYZF",,,"0","1","10/7/2018 10:26:05","admin","10/7/2018 10:56:02","admin",,,,"1143c18426014419a35aa1fa97685c9c"
"06daee5aa4ce4c4595c654e37b0c1b0c","038d293fca544c86afa3f2bc65421fd7","新增意向客户","2","XZYXKH",,,"0","1","6/11/2020 06:43:30","admin","21/1/2021 08:48:46","admin",,,,"038d293fca544c86afa3f2bc65421fd7"
