"F_Id","F_ParentId","F_Type","F_FullName","F_EnCode","F_UrlAddress","F_IsButtonAuthorize","F_IsColumnAuthorize","F_IsDataAuthorize","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LinkTarget","F_Category","F_Icon"
"007660A0-B6D8-458F-9828-0A64A220EF8A","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","日程安排","extend.schedule","extend/schedule","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"69","1","28/9/2017 15:50:47",,"21/1/2021 02:16:20","admin","0",,,"_self","Web","icon-ym icon-ym-scheduleExample"
"0307f1a3b09041a18f7b893cbdef802e","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","条码示例","extend.barCode","extend/barCode","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","一维码、二维码","73","1","24/12/2018 13:19:36","admin","21/1/2021 02:16:51","admin",,,,"_self","Web","icon-ym icon-ym-barCodeExample"
"07029F61-993A-4A46-BF56-20DE382F4F66","3899D622-578E-4149-B2B4-C8EBD9DA3FDB","2","角色管理","permission.role","permission/role","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"50","1","28/9/2017 15:43:23",,"21/1/2021 02:06:56","admin","0",,,"_self","Web","icon-ym icon-ym-role"
"0be9192d6244490bb8dee3c7c2237265","8e31faee685446e28b1eb77cb871cae2","3","应收费用","2323232","model/2323232","1","1","1","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""4a4eb56f60784828b08f34ed6c30f9c5""}",,"0","1","19/1/2021 10:38:07","admin","22/1/2021 01:10:38","admin",,,,"_self","Web","icon-ym icon-ym-full-screen1"
"0bee331472de4f38b8a9dd60c670bbe7","89524f3808b843eab437ca68e7845151","6","乡村振兴普惠金融服务平台","daping2","DataV/daping2","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""5bf2f01582b7481a9daa8db940dd4caa""}",,"0","1","16/11/2020 03:07:21","admin","25/12/2020 02:24:53","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"_blank","Web","icon-ym icon-ym-bigScreenExample1"
"0BF2E270-E214-4D3B-9F7C-D5B000068202","E7443869-AFAD-4597-9B12-CD182369DF3C","2","系统日志","system.log","system/log","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"22","1","28/9/2017 15:43:22",,"21/1/2021 01:29:42","admin","0",,,"_self","Web","icon-ym icon-ym-sysLog"
"118f8281f52f4719bacbcf1f86adc2e3","9193163d20604861b13193d24bcb7b0c","2","数据地图","systemData.map","systemData/map","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"35","1","4/8/2020 17:49:10","00ca450b-141b-45d2-b6cb-94d818165543","21/1/2021 01:58:52","admin",,,,"_self","Web","icon-ym icon-ym-mapExample"
"11ea9e587d144e30a59c1630e2fedfdb","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","表格批注","extend.tableDemo.postilTable","extend/tableDemo/postilTable","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"110","1","29/11/2020 14:19:44","admin","21/1/2021 02:56:20","03d159a3-0f88-424c-a24f-02f63855fe4f",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"12945eb913e6481ea6e4f2e31f4a5b53","6a36b5be00c74a5a8eadf9aca216ce8e","2","E-柱状图","extend.graphDemo.echartsBar","extend/graphDemo/echartsBar","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"80","1","29/11/2020 14:19:44","admin","21/1/2021 02:19:50","admin",,,,"_self","Web","icon-ym icon-ym-echartsColumn"
"12f57de476a34980b80d2a8b21d1f11a","8e31faee685446e28b1eb77cb871cae2","3","大客户信息","kehuxinxi","model/kehuxinxi","1","1","1","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""944cf200a7f847fca7a158379fcc1395""}",,"0","1","19/1/2021 10:59:19","admin",,,,,,"_self","Web","icon-ym icon-ym-extend-meh"
