"F_Id","F_ParentId","F_EnCode","F_FullName","F_QuickQuery","F_Type","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId"
"05653f4d343a4215b1c797a797781ed9","110228","110228001","鼓楼街道",,,,"0","1",,,,,,,
"11","-1","1134","北京市","beijingshi","1",,"0","1",,,"29/12/2020 06:35:47","03d159a3-0f88-424c-a24f-02f63855fe4f",,,
"1101","11","1101","市辖区","shixiaqu","2",,"0","1",,,"16/12/2019 11:31:28","admin",,,
"110101","1101","110101","东城区","dongchengqu","3",,"0","1",,,,,,,
"110101001","110101","110101001","东华门街道","donghuamenjiedao","4",,"0","1",,,"25/7/2020 17:47:21","249cf67d-fd9d-42da-8c2f-0481a7113446",,,
"110101002","110101","110101002","景山街道","jingshanjiedao","4",,"0","1",,,,,,,
"110101003","110101","110101003","交道口街道","jiaodaokoujiedao","4",,"0","1",,,,,,,
"110101004","110101","110101004","安定门街道","andingmenjiedao","4",,"0","1",,,,,,,
"110101005","110101","110101005","北新桥街道","beixinqiaojiedao","4",,"0","1",,,,,,,
"110101006","110101","110101006","东四街道","dongsijiedao","4",,"0","1",,,,,,,
"110101007","110101","110101007","朝阳门街道","chaoyangmenjiedao","4",,"0","1",,,,,,,
"110101008","110101","110101008","建国门街道","jianguomenjiedao","4",,"0","1",,,,,,,
"110101009","110101","110101009","东直门街道","dongzhimenjiedao","4",,"0","1",,,,,,,
"110101010","110101","110101010","和平里街道","hepinglijiedao","4",,"0","1",,,,,,,
"110102","1101","110102","西城区","xichengqu","3",,"0","1",,,,,,,
"110102001","110102","110102001","西长安街街道","xizhanganjiejiedao","4",,"0","1",,,,,,,
"110102003","110102","110102003","新街口街道","xinjiekoujiedao","4",,"0","1",,,,,,,
"110102007","110102","110102007","月坛街道","yuetanjiedao","4",,"0","1",,,,,,,
"110102009","110102","110102009","展览路街道","zhanlanlujiedao","4",,"0","1",,,,,,,
"110102010","110102","110102010","德胜街道","deshengjiedao","4",,"0","1",,,,,,,
"110102011","110102","110102011","金融街街道","jinrongjiejiedao","4",,"0","1",,,,,,,
"110102012","110102","110102012","什刹海街道","shenchahaijiedao","4",,"0","1",,,,,,,
"110103","1101","110103","崇文区","chongwenqu","3",,"0","1",,,,,,,
"110103001","110103","110103001","前门街道","qianmenjiedao","4",,"0","1",,,,,,,
"110103002","110103","110103002","崇文门外街道","chongwenmenwaijiedao","4",,"0","1",,,,,,,
"110103003","110103","110103003","东花市街道","donghuashijiedao","4",,"0","1",,,,,,,
"110103004","110103","110103004","龙潭街道","longtanjiedao","4",,"0","1",,,,,,,
"110103005","110103","110103005","体育馆路街道","tiyuguanlujiedao","4",,"0","1",,,,,,,
"110103006","110103","110103006","天坛街道","tiantanjiedao","4",,"0","1",,,,,,,
"110103007","110103","110103007","永定门外街道","yongdingmenwaijiedao","4",,"0","1",,,,,,,
"110104","1101","110104","宣武区","xuanwuqu","3",,"0","1",,,,,,,
"110104001","110104","110104001","大栅栏街道","dazhalanjiedao","4",,"0","1",,,,,,,
"110104002","110104","110104002","天桥街道","tianqiaojiedao","4",,"0","1",,,,,,,
"110104003","110104","110104003","椿树街道","chunshujiedao","4",,"0","1",,,,,,,
"110104004","110104","110104004","陶然亭街道","taorantingjiedao","4",,"0","1",,,,,,,
"110104005","110104","110104005","广安门内街道","guanganmenneijiedao","4",,"0","1",,,,,,,
"110104006","110104","110104006","牛街街道","niujiejiedao","4",,"0","1",,,,,,,
"110104007","110104","110104007","白纸坊街道","baizhifangjiedao","4",,"0","1",,,,,,,
"110104008","110104","110104008","广安门外街道","guanganmenwaijiedao","4",,"0","1",,,,,,,
"110105","1101","110105","朝阳区","chaoyangqu","3",,"0","1",,,,,,,
"110105001","110105","110105001","建外街道","jianwaijiedao","4",,"0","1",,,,,,,
"110105002","110105","110105002","朝外街道","chaowaijiedao","4",,"0","1",,,,,,,
"110105003","110105","110105003","呼家楼街道","hujialoujiedao","4",,"0","1",,,,,,,
"110105004","110105","110105004","三里屯街道","sanlitunjiedao","4",,"0","1",,,,,,,
"110105005","110105","110105005","左家庄街道","zuojiazhuangjiedao","4",,"0","1",,,,,,,
"110105006","110105","110105006","香河园街道","xiangheyuanjiedao","4",,"0","1",,,,,,,
"110105007","110105","110105007","和平街街道","hepingjiejiedao","4",,"0","1",,,,,,,
"110105008","110105","110105008","安贞街道","anzhenjiedao","4",,"0","1",,,,,,,
"110105009","110105","110105009","亚运村街道","yayuncunjiedao","4",,"0","1",,,,,,,
"110105010","110105","110105010","小关街道","xiaoguanjiedao","4",,"0","1",,,,,,,
"110105011","110105","110105011","酒仙桥街道","jiuxianqiaojiedao","4",,"0","1",,,,,,,
"110105012","110105","110105012","麦子店街道","maizidianjiedao","4",,"0","1",,,,,,,
"110105013","110105","110105013","团结湖街道","tuanjiehujiedao","4",,"0","1",,,,,,,
"110105014","110105","110105014","六里屯街道","liulitunjiedao","4",,"0","1",,,,,,,
"110105015","110105","110105015","八里庄街道","balizhuangjiedao","4",,"0","1",,,,,,,
"110105016","110105","110105016","双井街道","shuangjingjiedao","4",,"0","1",,,,,,,
"110105017","110105","110105017","劲松街道","jingsongjiedao","4",,"0","1",,,,,,,
"110105018","110105","110105018","潘家园街道","panjiayuanjiedao","4",,"0","1",,,,,,,
"110105019","110105","110105019","垡头街道","fatoujiedao","4",,"0","1",,,,,,,
"110105021","110105","110105021","南磨房地区","nanmofangdiqu","4",,"0","1",,,,,,,
"110105022","110105","110105022","高碑店地区","gaobeidiandiqu","4",,"0","1",,,,,,,
"110105023","110105","110105023","将台地区","jiangtaidiqu","4",,"0","1",,,,,,,
"110105024","110105","110105024","太阳宫地区","taiyanggongdiqu","4",,"0","1",,,,,,,
"110105025","110105","110105025","大屯街道","datunjiedao","4",,"0","1",,,,,,,
"110105026","110105","110105026","望京街道","wangjingjiedao","4",,"0","1",,,,,,,
"110105027","110105","110105027","小红门地区","xiaohongmendiqu","4",,"0","1",,,,,,,
"110105028","110105","110105028","十八里店地区","shibalidiandiqu","4",,"0","1",,,,,,,
"110105029","110105","110105029","平房地区","pingfangdiqu","4",,"0","1",,,,,,,
"110105030","110105","110105030","东风地区","dongfengdiqu","4",,"0","1",,,,,,,
"110105031","110105","110105031","奥运村地区","aoyuncundiqu","4",,"0","1",,,,,,,
