"F_Id","F_NodeCode","F_NodeName","F_NodeType","F_NodePropertyJson","F_NodeUp","F_NodeNext","F_Completion","F_Description","F_SortCode","F_CreatorTime","F_TaskId","F_State"
"0032e3233b43411e9ab96d8b6d4da353","gb2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""kb2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""gb2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""9eccd997462b4bed93a6923cd43c6315"",""taskNodeId"":""0032e3233b43411e9ab96d8b6d4da353"",""title"":""开始"",""type"":""start""}",,"kb2","1",,"1","27/9/2020 03:22:45","9eccd997462b4bed93a6923cd43c6315","0"
"021d0060e0fd4b2ebddb1c0f89d69240","Ac2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""Bc2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""Ac2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""6cae7f9a626b4512b5b8fb2b98feb63a"",""taskNodeId"":""021d0060e0fd4b2ebddb1c0f89d69240"",""title"":""开始"",""type"":""start""}",,"Bc2","1",,"1","15/10/2020 11:15:32","6cae7f9a626b4512b5b8fb2b98feb63a","0"
"04af6eb60daa4084a1d3f2a0decb4dd8","Kb2","主管审批","approver","{""approverPos"":[""ce977e001cec40c69160268b7f436cc8"",""7dac4ac51a674d8ca51bca857b8d1465""],""approvers"":[""7e2d74f1-277a-4a51-9311-8d02d579f251"",""ea3b9f9e61584acf95d4142ad16f7883"",""1c637b38-7c7e-4733-9069-5a8f4585f6f9"",""43a38a12-a051-4006-be67-9547ee10eabc"",""67e573e0-bb73-49e0-823b-d8297b0da3f8""],""assigneeType"":""8"",""child"":false,""childNode"":"""",""circulatePosition"":[""ce977e001cec40c69160268b7f436cc8""],""circulateUser"":[""f465cea3563e47899e649dfb315b70e8"",""721acd3b-b621-47bd-a41b-ae5a393e999f"",""cb222cae-d8dd-4577-9c6f-4eeabeccb66a"",""1adea3ff-8a25-420b-a628-c5cb78fd51c0"",""1c637b38-7c7e-4733-9069-5a8f4585f6f9"",""43a38a12-a051-4006-be67-9547ee10eabc"",""67e573e0-bb73-49e0-823b-d8297b0da3f8""],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""applyUser"",""name"":""申请人"",""read"":false,""write"":false},{""id"":""position"",""name"":""所属职务"",""read"":false,""write"":false},{""id"":""applyDate"",""name"":""申请时间"",""read"":false,""write"":false},{""id"":""banquetNum"",""name"":""宴请人数"",""read"":true,""write"":false},{""id"":""banquetPeople"",""name"":""宴请人员"",""read"":true,""write"":false},{""id"":""total"",""name"":""人员总数"",""read"":true,""write"":false},{""id"":""place"",""name"":""宴请地点"",""read"":true,""write"":false},{""id"":""expectedCost"",""name"":""预计费用"",""read"":true,""write"":false},{""id"":""description"",""name"":""备注"",""read"":true,""write"":false}],""nodeId"":""Kb2"",""num"":""0"",""prevId"":""Gb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""748ad5a0baa64f2eab3fb446b41528c4"",""taskNodeId"":""04af6eb60daa4084a1d3f2a0decb4dd8"",""title"":""主管审批"",""type"":""approver""}","0","end","-1",,"2","10/10/2020 01:52:01","748ad5a0baa64f2eab3fb446b41528c4","-1"
"04c7b8d7268a479ab767dac21078e629","bb2","审批人","approver","{""approverPos"":[],""approvers"":[""2049f1bf-bd8d-43ca-bb3c-2d2833a16535"",""3da3017f-46a9-4bdc-ab00-8b155735679c""],""assigneeType"":""8"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":""Zb2"",""formOperates"":[{""id"":""comInputField101"",""name"":""单行输入框"",""read"":true,""write"":false},{""id"":""numInputField103"",""name"":""数字文本"",""read"":true,""write"":false},{""id"":""textareaField102"",""name"":""多行输入框"",""read"":true,""write"":false},{""id"":""checkboxField104"",""name"":""多选框"",""read"":true,""write"":false},{""id"":""timeField105"",""name"":""时间选择"",""read"":true,""write"":false}],""nodeId"":""bb2"",""num"":""1"",""prevId"":""Yb2"",""progress"":null,""rejectStep"":""0"",""taskId"":""d75b9630183841cba7301bd002eb570a"",""taskNodeId"":""04c7b8d7268a479ab767dac21078e629"",""title"":""审批人"",""type"":""approver""}","0","Zb2","0",,"4","27/9/2020 02:27:44","d75b9630183841cba7301bd002eb570a","0"
"059e09be577e4672ac48a2124b2ecdcb","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"4","29/9/2020 03:16:27","843ecf6a1e134753a6cea666b1bbb69b","0"
"061d6958ed144d39ba6b106e7672bb6d","ab2","主管审批","approver","{""approverPos"":[],""approvers"":[],""assigneeType"":""1"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""writer"",""name"":""填表人"",""read"":true,""write"":false},{""id"":""writeDate"",""name"":""报表日期"",""read"":true,""write"":false},{""id"":""customerName"",""name"":""客户名称"",""read"":true,""write"":false},{""id"":""partnerName"",""name"":""合作人名"",""read"":true,""write"":false},{""id"":""standardFile"",""name"":""模型参考"",""read"":true,""write"":false},{""id"":""quotationType"",""name"":""类型"",""read"":true,""write"":false},{""id"":""fileJson"",""name"":""相关附件"",""read"":true,""write"":false},{""id"":""custSituation"",""name"":""情况描述"",""read"":true,""write"":false}],""nodeId"":""ab2"",""num"":""0"",""prevId"":""Zb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""18c5c7963e5540dbb49f92aa7667eff0"",""taskNodeId"":""061d6958ed144d39ba6b106e7672bb6d"",""title"":""主管审批"",""type"":""approver""}","0","end","0",,"2","29/9/2020 03:15:43","18c5c7963e5540dbb49f92aa7667eff0","0"
"070f4a1122a943b2a8b68c130ff92fe9","Gb2","开始","start","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":true,""childNode"":""Kb2"",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[],""nodeId"":""Gb2"",""num"":""1"",""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":""a77609ed3ee54dcdbb28d3309fd52096"",""taskNodeId"":""070f4a1122a943b2a8b68c130ff92fe9"",""title"":""开始"",""type"":""start""}",,"Kb2","1",,"1","30/9/2020 06:37:08","a77609ed3ee54dcdbb28d3309fd52096","0"
"076f4d7b692548b9a7949cd540fac1bf","end","结束","endround","{""approverPos"":[],""approvers"":[],""assigneeType"":null,""child"":null,""childNode"":null,""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":null,""formOperates"":[],""nodeId"":null,""num"":null,""prevId"":null,""progress"":null,""rejectStep"":null,""taskId"":null,""taskNodeId"":null,""title"":null,""type"":null}",,,"0",,"4","27/9/2020 02:39:58","334c9775ed2542e68b6e728c3c350a2c","0"
"07a8b0a43c3f4d008ce478b2edb53325","Mb2","主管审批","approver","{""approverPos"":[""85507bf01a014ab3aed76e48d95634f5"",""59e84df36abe4c6f873d74392c2eea11"",""7dac4ac51a674d8ca51bca857b8d1465"",""8188e486f82d48058f8d81c3be502324""],""approvers"":[""03d159a3-0f88-424c-a24f-02f63855fe4f"",""ec63d618f8b643428b27f18336f73f4b""],""assigneeType"":""8"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[""43a38a12-a051-4006-be67-9547ee10eabc""],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""id"",""name"":""主键"",""read"":true,""write"":false},{""id"":""flowId"",""name"":""流程主键"",""read"":true,""write"":false},{""id"":""flowTitle"",""name"":""流程标题"",""read"":true,""write"":false},{""id"":""flowUrgent"",""name"":""紧急程度"",""read"":true,""write"":false},{""id"":""billNo"",""name"":""流程单据"",""read"":true,""write"":false},{""id"":""fileTitle"",""name"":""文件标题"",""read"":true,""write"":false},{""id"":""draftedPerson"",""name"":""主办单位"",""read"":true,""write"":false},{""id"":""fillNum"",""name"":""文件编号"",""read"":true,""write"":false},{""id"":""sendUnit"",""name"":""发往单位"",""read"":true,""write"":false},{""id"":""typing"",""name"":""打字"",""read"":true,""write"":false},{""id"":""writingDate"",""name"":""发文日期"",""read"":true,""write"":false},{""id"":""shareNum"",""name"":""份数"",""read"":true,""write"":false},{""id"":""fileJson"",""name"":""相关附件"",""read"":true,""write"":false},{""id"":""description"",""name"":""备注"",""read"":true,""write"":false}],""nodeId"":""Mb2"",""num"":""0"",""prevId"":""Lb2"",""progress"":""50"",""rejectStep"":""0"",""taskId"":""09618aaaeec14b008af666ed63893c24"",""taskNodeId"":""07a8b0a43c3f4d008ce478b2edb53325"",""title"":""主管审批"",""type"":""approver""}","0","end","0",,"2","29/9/2020 02:22:28","09618aaaeec14b008af666ed63893c24","0"
"08f350a4362c44fe9bad447a474f5c94","Kb2","审批人","approver","{""approverPos"":[],""approvers"":[],""assigneeType"":""1"",""child"":false,""childNode"":"""",""circulatePosition"":[],""circulateUser"":[],""description"":null,""firstId"":"""",""formOperates"":[{""id"":""f_name"",""name"":""项目名称"",""read"":true,""write"":false},{""id"":""f_pay"",""name"":""项目经费"",""read"":true,""write"":false},{""id"":""f_type"",""name"":""项目类型"",""read"":true,""write"":false}],""nodeId"":""Kb2"",""num"":""0"",""prevId"":""Gb2"",""progress"":"""",""rejectStep"":""0"",""taskId"":""029813f3105a444b95fde64f9994c431"",""taskNodeId"":""08f350a4362c44fe9bad447a474f5c94"",""title"":""审批人"",""type"":""approver""}","0","end","1",,"2","14/10/2020 07:31:45","029813f3105a444b95fde64f9994c431","0"
