"F_Id","F_NodeCode","F_NodeName","F_HandleStatus","F_HandleId","F_HandleTime","F_HandleOpinion","F_TaskOperatorId","F_TaskNodeId","F_TaskId"
"020b0a1dfb1840d4aa63cda3a2044838",,"开始","2","admin","27/9/2020 02:17:52",,,,"7bed3546f71b46b69a3962c7f41dd846"
"04125d95d5504d4886dc9f23c7cf6f1e",,"开始","2","bd2e16c2680e410bb735a85027575e4f","29/9/2020 03:16:52",,,,"481ce1cc344f41cdb5a267f021185a4c"
"05190cc8dca244bc81fb70e3c1536028","Kb2","主管审批","0","0602f0ce-e33e-43e1-83e5-402a8d05bfb5","10/10/2020 02:00:05",".33333","6ac0fa72bd0e467789135f3080148be4","04af6eb60daa4084a1d3f2a0decb4dd8","748ad5a0baa64f2eab3fb446b41528c4"
"052eed8345e14815b475389c31a21075",,"开始","2","admin","23/9/2020 03:35:01",,,,"dc91f0822b144c32bdf098f0160b55dd"
"0737338d11a64c9cb76800f95b47d424",,"开始","2","bd2e16c2680e410bb735a85027575e4f","29/9/2020 03:03:51",,,,"e8f17348171d419690e4cdf192319502"
"087aa85e23af4a53873714aff51ac1dd",,"开始","2","ea3b9f9e61584acf95d4142ad16f7883","29/9/2020 07:20:01",,,,"733433c007b14b52b06605a66c62a28f"
"087b0861882d473bacd9ec6192d23a3e",,"开始","2","bd2e16c2680e410bb735a85027575e4f","29/9/2020 02:23:25",,,,"b81394a5b7584033b568e7b46529cd56"
"089b68c892324735842751605aa22d17","Ub2","审批人","1","1d230af0-7054-43e0-bcd0-60144d3ed1d1","29/9/2020 06:54:02",,"3790bf956fdf4871a2914e1d7b9a3558","2c3146a80d8a43c59ae3264e9ec54073","c9cb1c2cba8045ea87dbded4b753a0c1"
"0adb294f635b438b9bb8687ea0a945cb",,"开始","2","bd2e16c2680e410bb735a85027575e4f","29/9/2020 01:55:37",,,,"9c5db9e7fd3c44cc82fbdca1dc8fe464"
"0bf05ffad99441d89cd08421dfb117f9",,"开始","2","admin","9/10/2020 03:05:23",,,,"8395b1f5d24b4e7ab425ba7ae2adf85a"
"0cfc8040e5fe49b8bf28a72ff6e35537",,"开始","2","admin","29/9/2020 01:31:19",,,,"ab67329172da42fc8e4e1ddacad00ceb"
"0d3e97cac97342d08a5e4afc5ab7fc43","Kb2","主管审批","1","1c637b38-7c7e-4733-9069-5a8f4585f6f9","10/10/2020 01:46:12","阿萨德","e971352ec10d4586abee00142a957704","0b502428ea7044c8992e72aa967b39e4","01298ced00a344ffb92b0edf4045a883"
"0d6fe62bd5734da3b76727be8f73db5a",,"开始","2","bd2e16c2680e410bb735a85027575e4f","29/9/2020 03:08:27",,,,"d64fd9021d1d4ed9b4a606f34a2373de"
"0d79bf50e0714769945606bba5467596","Kb2","审批人","1","admin","14/10/2020 07:34:55","是","a65bb8493d46485798d1be99a7fb36c8","08f350a4362c44fe9bad447a474f5c94","029813f3105a444b95fde64f9994c431"
