"F_Id","F_MsgType","F_All","F_Safe","F_ToUserId","F_ToParty","F_ToTag","F_AgentId","F_MediaId","F_Title","F_Author","F_ContentSourceUrl","F_Content","F_Abstract","F_ShowCoverPic","F_SendDate","F_SendUserId","F_TXTContent","F_FileJson","F_SortCode","F_EnabledMark","F_InvalidUser","F_InvalidParty","F_InvalidTag","F_Description","F_PicUrl"
"06426917d9a5485487ce9c4e7fed8a9d","6","1",,,,,"1000004",,"Laravel 5.7 正式发布，号称最优雅的 PHP Web 框架","达尔文 ","https://www.oschina.net/news/99661/laravel-5-7-released?from=20180909","<p>Laravel 5.7 版本<a href=""https://laravel-news.com/laravel-5-7-is-now-released"" target=""_blank"">已正式发布</a>，该版本引入了一些新特性并修复了很多 5.6 版本中的 bug，其中一些比较重要的新特性如下：</p><h3>新的资源目录结构</h3><p>resources&nbsp;目录移除了&nbsp;assets&nbsp;子目录并将之前在&nbsp;assets&nbsp;目录下的子目录移到&nbsp;resources&nbsp;目录下。之前版本的&nbsp;resources&nbsp;目录结构如下：</p><pre class="""">/resources
├──&nbsp;assets
│&nbsp;&nbsp;&nbsp;├──&nbsp;js
│&nbsp;&nbsp;&nbsp;└──&nbsp;sass
├──&nbsp;lang
│&nbsp;&nbsp;&nbsp;└──&nbsp;en
└──&nbsp;views</pre><p>Laravel 5.7 中目录结构调整如下：</p><pre class="""">/resources
├──&nbsp;js
├──&nbsp;lang
├──&nbsp;sass
└──&nbsp;views</pre><h3>新的自定义分页</h3><p>Laravel 5.7 提供了一个新的分页方法来自定义分页器上显示的链接数目，有了这个方法，你就不必在某些场景下修改自定义分页视图模板了，你可以这样调用这个方法在当前页面定义链接数量：</p><pre class="""">User::paginate(10)-&gt;linksOnEachSide(5);</pre><h3>优化错误消息</h3>",,,"10/9/2018 09:53:43","admin",,"20180910_973d6e32bdc041bc8d3fd02dff600fdc.jpg","910095342053106","0",,,,,
"09fea692481a4e62868d0fe807c6ceb3","1","1",,,,,"1000003",,,,,,,,"10/9/2020 08:14:21","admin","測試",,"20200910161421130","1",,,,,
"1095e3aaa6cf4104948877e4f2b8af00","2","1",,,,,"1000003",,,,,,,,"7/9/2020 07:46:42","admin",,"20200907_15e0853d1dd14df1aaf1b4885963738d.png","20200907154642456","1",,,,,
"21aa6f5512a448669faf86025b78e485","1","0",,"048657c1-ecb1-4e5d-aced-6126ceae779e",,,"1000003",,,,,,,,"15/7/2020 15:11:20",,"2121",,"20200715151119499","1",,,,,
"333b3d21297b448cacf6e4ded5256981","6","1",,,,,"1000003",,"3213","213213","123213213131","<p>213213</p>",,,"15/7/2020 15:33:45",,,"20200715_0c0d957c29ca46088e720b310ef96b05.jpeg","20200715153344644","1",,,,,
"33d7dbdb6b5742ff9c0235dcf01fcf50","1","1",,,,,"1000003",,,,,,,,"15/7/2020 15:11:02",,"1212",,"20200715151102185","1",,,,,
"3702a6806a104f3db0236ff428b6db49","2","1",,,,,"1000003",,,,,,,,"10/9/2020 08:18:28","admin",,"20200910_1d5c08f095784896b136521adae4b0d6.png","20200910161827912","1",,,,,
"411b381400884f69a1ba36e0c6c1913b","1","1",,,,,"1000003",,,,,,,,"18/9/2020 06:52:49","admin","撒大声地",,"20200918145249484","1",,,,,
"5193690eee2b41cc99cd86d6563b1b7b","2","1",,,,,"1000003",,"测试","是",,"<p>是</p>",,,"18/9/2020 06:54:08","admin",,"20200918_8893ec8c16c7426492be8b685702d67d.png","20200918145408435","1",,,,,
"5fc318012f3f4d22913002673ca793d8","2","0",,"048657c1-ecb1-4e5d-aced-6126ceae779e",,,"1000003",,,,,,,,"15/7/2020 15:12:26",,,"20200715_57bcdc16d9a640ba895c102ca0c6d055.jpeg","20200715151226056","1",,,,,
"7175cadae8e7469fb15f1441eba63f4c","1","1",,,,,"1000003",,,,,,,,"7/9/2020 07:45:33","admin","待定",,"20200907154533058","1",,,,,
"71f9b1265e4b41ba83558225460c6043","2","1",,,,,"1000003",,,,,,,,"19/8/2020 14:16:32","admin",,"20200819_28c6cd482a9f4d3c886eeabe44dd5433.png","20200819141632301","1",,,,,
"7e72a899bf6c4d6693c630a1bd17685e","6","1",,,,,"1000003",,"21321","3213213","213213","<p>213213213</p>",,,"15/7/2020 15:43:13",,,"20200715_b560c4bdd30146aa989f0c1b05fb8746.jpeg","20200715154312807","1",,,,,
